Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
5775,323,1.8 Familia,_ATA MOTORS_,1997,278,?ampanya,"06 Ocak
                        2020",HatayAntakya,17.750 TL
5776,E Serisi,E 200 Komp. Avantgarde,MERCEDES E 200 Kompressor Avantgarde-E�2-ISITMA-CAM TAVAN-F1-,2007,300,Mavi,"21 Ocak
                        2020",MalatyaBattalgazi,137.000 TL
5777,Note,1.5 dCi Tekna,2008 Nissan Note Dizel,2008,198.65,G�m�? Gri,"13 Ocak
                        2020",AnkaraElmada?,46.500 TL
5778,230,230 E,1989 MERCEDES-BENZ 230E W124 AMG+SUNROOF+KL ?MA+OTOMAT?K+ HATASIZ,1989,318,Mavi,"20 Ocak
                        2020",?zmirGaziemir,54.500 TL
5779,A3,A3 Sedan 1.6 TDI,BOYASIZ DEVLET MEMURUNDAN 20117 �IKI?LI,2016,40.211,Beyaz,"20 Ocak
                        2020",?stanbulArnavutk�y,188.850 TL
5780,Rio,1.4 CRDi Fancy,2014 FULL KIA RIO FANCY(Yar?n �?lene kadar Erdem Bey'e opsiyonlu,2014,143,Beyaz,"20 Ocak
                        2020",?stanbulAta?ehir,68.500 TL
5781,A4,A4 Sedan 1.4 TFSI Design,?LK SAH?B?NDEN SON F?YAT TRAMER KAYDI YOK. BOYASIZ DE???ENS?Z,2017,25,Beyaz,"21 Ocak
                        2020",?stanbulK���k�ekmece,270.000 TL
5782,5 Serisi,520d Premium,Sahibinden Temiz D�?�k KM,2007,205,G�m�? Gri,"21 Ocak
                        2020",?stanbulBah�elievler,92.000 TL
5783,Micra,1.2 Tekna,CEMSE MOTORS 2011 N?SSAN M?CRA 1.2 TEKNA �Z�M S?YAH BEJ OTOMAT?K,2011,102,Siyah,"16 Ocak
                        2020",?stanbulBe?ikta?,72.000 TL
5784,Primera,2.0 TD Luxe,?HT?YA�TAN SATILIK TANK,2000,267,Bordo,"13 Ocak
                        2020",SamsunAtakum,23.500 TL
5785,Focus,1.5 TDCi Titanium,C?HAT BEYe opsiyonlanm??t?r,2016,146.5,Beyaz,"21 Ocak
                        2020",?stanbulAta?ehir,116.500 TL
5786,Palio,1.2 EL,"Temiz PAL?O, LPG'li, Klimal?, Par�a de?i?memi?tir.",2003,196,Gri,"22 Ocak
                        2020",IspartaMerkez,20.500 TL
5787,Marea,1.6 Exclusive,Temiz Marea Exclusive,2003,243,Gri,"21 Ocak
                        2020",Kocaeli?zmit,28.500 TL
5788,Ceed,1.6 CRDi Concept,KA�IRMA SAH?B?NDEN M�TH?? temiz ARA� TAM OTOMAT?K,2010,147,Beyaz,"22 Ocak
                        2020",KayseriMelikgazi,63.900 TL
5789,Primera,1.6 Comfort,** 2000 N?SSAN PR?MERA COMFORT TAM DOLU PAKET KOLTUK ISITMA **,2000,235,Beyaz,"20 Ocak
                        2020",DenizliSarayk�y,29.999 TL
5790,Lantis,1.8,1998 MODEL HATASIZ MAZDA LANT?S,1998,317,Beyaz,"05 Ocak
                        2020",AnkaraMamak,28.900 TL
5791,Focus,1.6 TDCi Collection,* * * 2008 HATASIZ BOYASIZZ D?ZEL COLLECT?ON 110 LUK FOCUS * * *,2008,218.314,G�m�? Gri,"22 Ocak
                        2020",AnkaraKe�i�ren,51.750 TL
5792,i20,1.2 D-CVVT Jump,Hundai i 20 jump benzinli sonmez oto galeri KDZ ERE?L?,2014,112.8,Beyaz,"22 Ocak
                        2020",ZonguldakEre?li,55.350 TL
5793,3,1.6 Impressive,En dolu model impressive 1 g�nl�k OPS?YONLANDI,2009,116,Siyah,"20 Ocak
                        2020",?zmirBay?nd?r,77.500 TL
5794,E Serisi,E 220 d Exclusive,Asr?n Motors Mercedes E 220d 4 Matic HATASIZ BOYASIZ DE???ENS?Z,2017,78,Siyah,"13 Ocak
                        2020",D�zceMerkez,547.000 TL
5795,Cerato,1.6 EX Comfort,Temiz Kia Cerato,2004,225,Siyah,"16 Ocak
                        2020",SakaryaHendek,41.900 TL
5796,A Serisi,A 180 CDI BlueEfficiency Style,ALANYA DA?DELEN OTOMOR?V DEN A180 D?ZEL,2015,120,Siyah,"21 Ocak
                        2020",AntalyaAlanya,157.750 TL
5797,Accent Blue,1.6 CRDI Biz,2014-HYUNDA? ACCENT BLUE 1.6 CRDI B?Z-BEYAZ,2014,112,Beyaz,"22 Ocak
                        2020",SakaryaSerdivan,72.000 TL
5798,Micra,1.2 Street,Hatas?z BOYASIZ kazas?z Tramersiz OTOMAT?K V?TES LEKES?Z43binkm,2015,43,Beyaz,"17 Ocak
                        2020",K�tahyaMerkez,82.750 TL
5799,Corsa,1.4 Comfort,T�rkiyede say?l? 1 par�a boyal?,2001,197,K?rm?z?,"21 Ocak
                        2020",?stanbulG�ng�ren,42.500 TL
5800,Primera,1.6 Visia,2006 MODEL N?SSAN PR?MERA 1.6 V?S?A 24.000 TL PE??NATLA,2006,299,Siyah,"12 Ocak
                        2020",SamsunBafra,39.900 TL
5801,626,2,Memurdan Mazda 626 90 model,1990,215,F�me,"28 Aral?k
                        2019",YozgatAkda?madeni,13.250 TL
5802,5 Serisi,525d xDrive  M Sport,2012 525d XDRIVE-M SPORT-BOYASIZ-UYGUN FA?Z ORANI ?LE KRED?L?!,2012,232,Beyaz,"21 Ocak
                        2020",VanEdremit,198.000 TL
5803,C4,1.6 e-HDi  Exclusive,SAF?R AUTO'DAN C?TROEN 1.6 e HD? EXCLUS?VE LANSMAN RENG? KIRMIZI,2013,160,K?rm?z?,"21 Ocak
                        2020",?stanbulEsenyurt,82.750 TL
5804,3 Serisi,316i Standart,Ihtiyactan Acil Satilik,2001,308,G�m�? Gri,"21 Ocak
                        2020",?stanbulPendik,53.000 TL
5805,CLA,180 d AMG,ORTAKLAR AUTO'DAN 2017 MERCEDES CLA 180 d AMG DE???ENS?Z FUL...,2017,100,Gri,"15 Ocak
                        2020",?stanbulEsenyurt,237.000 TL
5806,Civic,1.6i VTEC Eco Elegance,HONDA C?V?C ECO ELEGANCE HATASIZ,2012,67,Beyaz,"21 Ocak
                        2020",BatmanMerkez,120.000 TL
5807,Linea,1.3 Multijet Pop,-30 Y?ll?k Tecr�be Can'dan Fiat Linea Pop +Boyas?z +Kay?ts?z,2015,132,Beyaz,"21 Ocak
                        2020",�anakkaleMerkez,61.600 TL
5808,Civic,1.5 EL,Hatas?z temiz binicisine Honda,1994,220,Beyaz,"20 Ocak
                        2020",ZonguldakMerkez,29.000 TL
5809,Tempra,1.6 ie SLX,Aile Arac? Tempra Orjinal,1997,103,G�m�? Gri,"21 Ocak
                        2020",?stanbulEsenyurt,21.750 TL
5810,i20,1.4 CRDi Jump,BAKIMLIII HASAR KAYITSIZ DAHA 125.000 KMDE ?20 D?ZELLL,2012,125,G�m�? Gri,"15 Ocak
                        2020",AntalyaManavgat,43.750 TL
5811,C Serisi,C 200 d BlueTEC AMG,Hatas?z Boyas?z Tramersiz CARL BENZ ?MZALI SER? AMG 2016 Model!,2016,99,Beyaz,"21 Ocak
                        2020",DenizliMerkezefendi,268.000 TL
5812,323,1.6 Familia,orjinal 323 f,1993,288,Beyaz,"02 Ocak
                        2020",?zmirMenemen,18.000 TL
5813,626,2,A Y T OTOMOT?VDEN 1998 MODEL MAZDA 626,1998,340,F�me,"28 Aral?k
                        2019",KayseriYahyal?,26.800 TL
5814,C3,1.4 Attraction,�?RETMENDEN �OK TEM?Z DE???ENS?Z MASRAFSIZ BENZ?NL? 117.000 KM D,2011,117,Beyaz,"20 Ocak
                        2020",AnkaraAlt?nda?,49.750 TL
5815,Ceed,1.6 CRDi Concept Plus,K?A CEED D?ZEL OTOMAT?K HATASIZ BOYASIZ,2012,147,Beyaz,"19 Ocak
                        2020",K?r?kkaleMerkez,104.750 TL
5816,Civic,1.5i VTEC Sport,De?i?en yok boya yok,2017,46,F�me,"22 Ocak
                        2020",?zmirBal�ova,152.000 TL
5817,3 Serisi,318i Standart,2004 BMW 3.18i Sahibinden Kazas?z (Garaj arabas?)..,2004,265,Siyah,"22 Ocak
                        2020",?stanbulPendik,57.000 TL
5818,Accord,2.4 Executive,sahibinden temiz accord,2003,304,F�me,"21 Ocak
                        2020",AksarayMerkez,55.000 TL
5819,Astra,1.4 T Enjoy Active,Sahininden De?i?ensiz Lpgli,2013,100,Siyah,"22 Ocak
                        2020",AnkaraKe�i�ren,79.000 TL
5820,Fiesta,1.4 TDCi Comfort,MRT OTODAN MASRAFSIZ F?ESTA,2006,292,Beyaz,"22 Ocak
                        2020",?zmirBayrakl?,31.750 TL
5821,C Serisi,C 220 CDI Avantgarde,"Cam tavanl?, full bak?ml?,C220 CDI Avangarde",2008,329,G�m�? Gri,"22 Ocak
                        2020",Mu?laMente?e,107.000 TL
5822,A4,A4 Sedan 2.0 TFSI Quattro,Askeri Personelden FULL+FULL ANKARA BEYi Sat??ta..!!,2005,240,Siyah,"22 Ocak
                        2020",AnkaraAlt?nda?,57.750 TL
5823,Accord,2.0 Executive,EMEKL?den TERTEM?Z ACCORD,2008,219,F�me,"22 Ocak
                        2020",AnkaraPursaklar,76.500 TL
5824,Micra,1.2 Tekna,Nissan Mikra (Mikro?) Manuel 2004,2004,167,K?rm?z?,"15 Ocak
                        2020",AntalyaD�?emealt?,34.000 TL
5825,Corsa,1.3 CDTI  Essentia,G�RMEYE DE?ER,2014,200,Beyaz,"21 Ocak
                        2020",?stanbulAvc?lar,54.500 TL
5826,Civic,1.5 EX,Tertemiz Mavi,1993,252.04,Mavi,"21 Ocak
                        2020",?stanbulEsenyurt,21.000 TL
5827,A5,A5 Sportback 2.0 TDI,SELV? OTOMOT?VDEN AUD? A5,2012,189.5,Siyah,"21 Ocak
                        2020",DenizliSarayk�y,175.000 TL
5828,Accent Era,1.5 CRDi Team,T�rkiye'nin en uygun ara�lar? S?NAN OTOMOT?VDE,2010,198,G�m�? Gri,"20 Ocak
                        2020",?anl?urfaHaliliye,42.000 TL
5829,i20,1.4 CRDi Style,HYUNDA? ?20 1.4CRD? STYLE PAKET 80 B?N KM,2015,80,G�m�? Gri,"21 Ocak
                        2020",?stanbul�sk�dar,67.500 TL
5830,i10,1.2 D-CVVT Elite,KAZASIZ BOYASIZ TAM OTOMAT?K,2014,79,Mavi,"21 Ocak
                        2020",K�tahyaMerkez,75.250 TL
5831,C Serisi,C 200 d BlueTEC AMG,SAH?B?NDEN C 200D AMG GARAJ ARABASI TRAMERS?Z �?Z?K YOK,2017,33,Beyaz,"21 Ocak
                        2020",?stanbul�mraniye,328.000 TL
5832,Marea,1.9 JTD,2002 model f?yat mar?a,2002,286.5,Kahverengi,"21 Ocak
                        2020",DenizliPamukkale,23.500 TL
5833,Punto,Grande 1.3 Multijet Active,2009 Fiat Punto tertemizz,2009,128,G�m�? Gri,"21 Ocak
                        2020",?stanbulAvc?lar,50.000 TL
5834,i20,1.4 CVVT Sense,HATASIZ BOYASIZ OTOMAT?K V?TES HYUNDA? ?20,2013,119,Beyaz,"21 Ocak
                        2020",�orumMerkez,84.700 TL
5835,i30,1.6 GDi Style,Sahibinden temizz,2013,96,Beyaz,"20 Ocak
                        2020",?zmirBornova,82.000 TL
5836,Sephia,1.5 GTX,KL?MALI 94 KIA SEPHIA,1994,366.75,Beyaz,"15 Ocak
                        2020",BursaNil�fer,14.250 TL
5837,3,1.6 Impressive,kapora alindi,2011,165,Beyaz,"20 Ocak
                        2020",HatayDefne,59.750 TL
5838,4 Serisi,418i Gran Coupe Gran Coupe,2015 MODEL BMW 4.18? GRAN COUPE 72.000 KM'DE ORJ?NAL,2015,72,Siyah,"18 Ocak
                        2020",MersinYeni?ehir,237.000 TL
5839,Ceed,1.6 CRDi Concept Plus,GALER? ?NER KIA CEED 1.6 CRDI OTOMAT?K CONCEPT PLUS CAM TAVAN,2012,138,Siyah,"20 Ocak
                        2020",KonyaKaratay,91.750 TL
5840,Brava,1.6 SX,Beyaz incimiz sat??ta,2000,243,Beyaz,"22 Ocak
                        2020",�ank?r?Merkez,24.750 TL
5841,Egea,1.4 Fire Easy,S?f?r Ayar?nda Landirenzo LPG li Egea 1.4 Fire,2019,370,Gri,"22 Ocak
                        2020",AnkaraSincan,92.500 TL
5842,C3,1.6 HDi SX,BAKIMLI TEM?Z C3 1.6 HD? SXPK CAM TAVANLI FULL+FULL,2006,227,G�m�? Gri,"18 Ocak
                        2020",DenizliSarayk�y,39.500 TL
5843,E Serisi,E 180 Exclusive,ASKAR OTOMOT?V'DEN 2018 E180 EXCLUSIVE 9-G TRONIC BAY?,2018,71.25,Siyah,"20 Ocak
                        2020",?stanbulBa?c?lar,432.500 TL
5844,C Serisi,C 200 d BlueTEC Fascination,VEFAdan+2014+D?Z�EL+OTOMAT?K+105 B?NDE ORJ KM+LED+GER? G�R�?,2014,105,Siyah,"21 Ocak
                        2020",?stanbulBa?c?lar,183.000 TL
5845,Albea,Sole 1.3 Multijet Premio,Memurdan Temiz Albea Sole Premio,2011,138.5,Beyaz,"21 Ocak
                        2020",Ayd?nEfeler,39.500 TL
5846,5 Serisi,520i Standart,MUAYYER ORJ?NAL FULL A?LE ARACI,2005,298,Siyah,"21 Ocak
                        2020",AnkaraMamak,100.000 TL
5847,Civic,1.6 i ES,Japonica EFSANE Sahnelerde,1999,170,Gri,"22 Ocak
                        2020",Ayd?nEfeler,34.500 TL
5848,Focus,1.6 TDCi Style,Temiz fort fokus stely,2014,150,Gri,"21 Ocak
                        2020",Gaziantep?ehitkamil,69.500 TL
5849,Linea,1.3 Multijet Pop,ihtiya�tan acil sat?l?k tertemiz sahibinden linea,2015,119,Beyaz,"21 Ocak
                        2020",ManisaSalihli,56.500 TL
5850,3 Serisi,320i ED Sport Plus,2016 320iED SPORTL?NE PLUS BOYASIZ HATASIZ HAFIZA ELEK. KOLTUK,2016,55,Beyaz,"21 Ocak
                        2020",?stanbulBa?c?lar,229.000 TL
5851,Corsa,1.3 CDTI  Essentia,�ET?NER OTO'DAN OPEL CORSA 1.3 CDT? ESSENT?A,2016,88,Beyaz,"31 Aral?k
                        2019",?stanbulAta?ehir,77.900 TL
5852,S Serisi,S 320 320,!!! EMSALS?ZZ TEM?ZL?KTE FULL+FULL W140 S320 Mercedes Benz,1996,345,F�me,"21 Ocak
                        2020",AnkaraKe�i�ren,64.000 TL
5853,Micra,1.2 Platinum,2012 59'B?N KM CAM TAVAN+ANAHTARSIZ �.+KATLANIR AYNA+D?J? KL?MA,2012,59,Bordo,"10 Ocak
                        2020",?stanbulBah�elievler,79.900 TL
5854,i30,1.6 CRDi Elite,SAHIB?NDEN HATASIZ ?30,2013,92.25,Beyaz,"21 Ocak
                        2020",Elaz??Merkez,112.000 TL
5855,3 Serisi,320i ED Luxury Line,''BOYASIZ'' 2015 BMW 320? LUXURY L?NE/HARMAN KARDON/TABA/SUNROOF,2014,95,Lacivert,"22 Ocak
                        2020",Gaziantep?slahiye,206.000 TL
5856,C-Elys�e,1.6 HDi  Feel,Sahibinden C-�LY$� 1.6 Hdi Feel A?RMAD,2017,66,Beyaz,"22 Ocak
                        2020",?stanbulPendik,69.850 TL
5857,Civic,1.6i VTEC Premium,SERV?SBAKIMLI. HASAR KAYITSIZDIR. ECO ORJ LPGL?. 2013MODEL,2013,237,Beyaz,"21 Ocak
                        2020",KonyaMeram,93.750 TL
5858,Focus,1.6 TDCi Trend X,SAFA OTOMOT?V 2017 FOCUS 1.6TDC? TREND X 43.000-KM %18 KDV,2017,43,Beyaz,"21 Ocak
                        2020",?stanbulSultangazi,114.900 TL
5859,Astra,1.6 CDTI Design,"""""G�REL OTO"""" 2017 ASTRA 1.6 CDTI DESIGN OTOMAT?K 89.565 KM",2017,89.565,Beyaz,"14 Ocak
                        2020",?zmirGaziemir,120.900 TL
5860,i20,1.4 CRDi Jump,SAH?B?NDEN TEM?Z MANUEL D�?�K KM,2013,101,Beyaz,"21 Ocak
                        2020",ArtvinBor�ka,65.750 TL
5861,3,1.6 Impressive,hatasiz boyasiz hasarkayitsiz otamatik 2011 empersel,2011,114,Beyaz,"06 Ocak
                        2020",?stanbulEsenyurt,88.250 TL
5862,Civic,1.6i VTEC Dream,HONDA CIVIC SEDAN 1.6 ?-VTEC 2009 MODEL 109 B?N KM DE,2009,109,Siyah,"09 Ocak
                        2020",ZonguldakEre?li,68.750 TL
5863,Accent Blue,1.6 CRDI Mode Plus,2016 model mod plus hatas?z,2016,116.5,Beyaz,"21 Ocak
                        2020",?stanbulEsenyurt,96.500 TL
5864,A4,A4 Sedan 1.8 TFSI,SAHIBINDEN AUDI A4 1.8 TFSI 160 HP BAKIMLI MASRAFSIZ D�?�K KM,2010,159,Siyah,"22 Ocak
                        2020",Kahramanmara?Oniki?ubat,94.000 TL
5865,C3,1.4 HDi SX,SEZEN'LER MOTOR'SDAN 2005 MODEL C?TROEN C3 1.4 KL?MALI TERTEM?Z,2005,290,Lacivert,"20 Ocak
                        2020",?stanbulSultanbeyli,26.750 TL
5866,C Serisi,C 200 d BlueTEC AMG,�A?DA? OTOMOT?V DEN HATASIZ BOYASIZ C200 AMG EN FULLU,2015,165,Beyaz,"22 Ocak
                        2020",?anl?urfaSiverek,235.000 TL
5867,S Serisi,S 320 320 CDI L,2009 MERCEDES BENZ S 320 L 4 MAT?C BAY?? �IKI?LI FUL+FUL,2009,370,Siyah,"20 Ocak
                        2020",MardinArtuklu,265.000 TL
5868,i10,1.2 D-CVVT Elite,"BU K?LOMETRE ZOR BULUNUR,TAM OTOMAT?K 1.2 EL?TE FULL PAKET",2014,25,Beyaz,"21 Ocak
                        2020",?stanbulG�ng�ren,79.500 TL
5869,Astra,2.0 GSi,?EHERL? OTOMOT?VDEN 2.0 GS? ASTRA,1994,275,Beyaz,"21 Ocak
                        2020",U?akBanaz,23.500 TL
5870,A Serisi,A 45 AMG,AUTO ARMADAN 2015 28000 KM BOYASIZ A 45 ///AMG S?YAH BAY?,2015,28,Siyah,"21 Ocak
                        2020",?stanbulBa?c?lar,318.000 TL
5871,Accent Era,1.4 Select,emsalsiz otomatik vites �zel renk,2008,265,Gri,"15 Ocak
                        2020",SakaryaAdapazar?,43.950 TL
5872,i20,1.4 CVVT Jump,OTOMAT?K BOYASIZ DE???ENS?Z HASAR KAYITSIZ D�?�K KM'L? ? 20,2012,59.9,Beyaz,"21 Ocak
                        2020",OsmaniyeKadirli,79.900 TL
5873,Cerato,1.6 CRDi Concept Plus,2016 1.6 CRD? OTOMAT?K+KLTK ISITMA+SUNROOF+GER? G�R�? 136 HP,2016,104,Beyaz,"14 Ocak
                        2020",?stanbulEy�psultan,99.750 TL
5874,Accent Blue,1.6 CRDI Mode Plus,SIFIR AYARINDA OTOMAR?K HYUNDAi MODE PLUS,2016,100,Beyaz,"20 Ocak
                        2020",SivasMerkez,96.750 TL
5875,Ceed,1.6 CRDi Concept SW,2011 kia ceed sw otomatik dizel aile arac?,2011,213.09,F�me,"19 Ocak
                        2020",?zmirBornova,55.000 TL
5876,3,1.6 D Impressive,mazada 3 orjinal 127klm de,2012,127,Kahverengi,"20 Ocak
                        2020",AksarayMerkez,81.000 TL
5877,Shuma,LS,Sahibinden temiz Kia Shuma 2001,2001,244,Gri,"16 Ocak
                        2020",KocaeliDar?ca,20.500 TL
5878,C-Elys�e,1.6 BlueHDI Shine,�?S?L DEN 2018 HATASIZ C ELYSEE,2018,18,Beyaz,"20 Ocak
                        2020",ZonguldakKilimli,96.500 TL
5879,A6,A6 Sedan 2.0 TFSI Quattro,Hatas?z A6 Quattro �ift navigasyon,2017,65,Beyaz,"20 Ocak
                        2020",BursaOsmangazi,387.000 TL
5880,1 Serisi,116d Joy Plus,REGNUM MOTORS HATASIZ 116 D?ZEL JOY PLUS SUNROF GER? G�R�? ZENON,2015,98,Siyah,"09 Ocak
                        2020",Ankara�ankaya,168.000 TL
5881,Insignia,1.6 CDTI  Design,"*2016*MODEL*Sadece 20,671 kmde*?NS?GN?A*1.6 CDT?*AUT*D?J.KLM*S&S",2016,20.671,Beyaz,"21 Ocak
                        2020",?stanbulAta?ehir,135.950 TL
5882,Astra,1.3 CDTI Essentia,Astra en temiz hatas?z boyas?z,2010,250,Beyaz,"21 Ocak
                        2020",AnkaraSincan,65.000 TL
5883,Jazz,1.4 Sport,2008 HONDA JAZZ 1.4 SPORT TAM OTOMAT?K 90.000 KM,2008,93,Siyah,"20 Ocak
                        2020",?zmirBuca,63.950 TL
5884,C Serisi,C 200 d BlueTEC Fascination,MH MOTORS C 200 D BLUTEC FASC?NAT?ON 7G-TRONIC BOYASIZ,2015,105.5,Siyah,"22 Ocak
                        2020",?stanbulBa?ak?ehir,239.000 TL
5885,C-Elys�e,1.6 HDi  Confort,"Boyas?z,de?i?�ensiz,hatas?z 2016 model",2016,108,Beyaz,"21 Ocak
                        2020",?stanbulK���k�ekmece,68.500 TL
5886,Micra,1.2 Visia,"2005 Nissan Micra 1.2 TAM OTOMAT?K. 128000 KM, �Z�M S?YAH!",2005,128,Siyah,"21 Ocak
                        2020",BursaNil�fer,52.900 TL
5887,C4,1.6 HDi SX,2008 C4 OTOMAT?K,2008,165,K?rm?z?,"22 Ocak
                        2020",?anl?urfaEyy�biye,47.000 TL
5888,Civic,1.6i VTEC Eco Elegance,SAH?B?NDEN KAZASIZ TRAMERS?Z C?V?C,2016,74,Beyaz,"19 Ocak
                        2020",AntalyaAlanya,141.900 TL
5889,350 Z,3.5 Coupe,2004 MODEL N?SSAN 350 Z MANUEL,2004,127,Siyah,"08 Ocak
                        2020",BursaOsmangazi,217.000 TL
5890,Fiesta,1.5 TDCi Titanium,2018 Fiesta B&O ses / Camtavan Sunroof - boyas?z de?i?ensiz,2018,19.137,Beyaz,"20 Ocak
                        2020",Kocaeli?zmit,135.900 TL
5891,Getz,1.5 CRDi VGT Start,89000 km Tertemiz Dizel Atom Kar?nca,2011,88.95,Mavi,"20 Ocak
                        2020",Kocaeli?zmit,49.500 TL
5892,Civic,1.6i VTEC Eco Executive,SAH?B?NDEN SIFIR AYARINDA CIVIC,2019,20.5,Siyah,"21 Ocak
                        2020",Diyarbak?rErgani,169.000 TL
5893,A3,A3 Sportback 1.6 TDI,"AVUKATTAN HASARSIZ , �?Z?KS?Z , SERV?S BAKMLI SIFIR AYARNDA ARA�",2019,18.1,Siyah,"22 Ocak
                        2020",?stanbulBak?rk�y,236.500 TL
5894,A3,A3 Sportback 1.6 TDI,ORJ?NAL YAKI?IKLI A3,2012,159,Beyaz,"21 Ocak
                        2020",?stanbulBeykoz,108.700 TL
5895,Mondeo,2.0 TDCi Trend,TANRIVERD? OTOMOT?VDEN BU AYIN FIRSAT ARACI MONDEO OTOMAT?K V?T,2008,202,Gri,"21 Ocak
                        2020",?stanbulEsenler,49.750 TL
5896,3 Serisi,316i Standart,AUTO ENG?NDEN 3.16i LPGL? B?R?NC? SINIF HER?EY?YLE TERTEM?Z,1997,300,Mavi,"21 Ocak
                        2020",I?d?rMerkez,33.500 TL
5897,Micra,1.2 Match,NISSAN M?CRA 1.2 MATCH CVT YEN? KASA FULL PAKET.,2013,134,Beyaz,"07 Ocak
                        2020",DenizliPamukkale,72.900 TL
5898,5 Serisi,520d Premium,TEM?Z BAKIMLI E60 ........SOR�UNSUZ...... YETK?L? SERV?S BAKIML,2007,266,G�m�? Gri,"22 Ocak
                        2020",AnkaraKe�i�ren,75.661 TL
5899,Accent,1.5 CRDi Admire,HYUNDA? ACCENT D?ZEL MANUEL KL?MALI 2005 MODEL,2005,210,G�m�? Gri,"20 Ocak
                        2020",HatayK?r?khan,30.500 TL
5900,Accent Era,1.4 Mode,HATAS?Z BOYAS?Z KOMPLE ORJ?NAL,2011,200,Beyaz,"21 Ocak
                        2020",Diyarbak?rKayap?nar,52.000 TL
5901,323,1.6 GLX,3.23 ORJINAL TEM?Z 1993 GLX 1.6 16 WALF MAZDA MASRAFSIZ,1993,323,Gri,"25 Aral?k
                        2019",D�zceMerkez,18.000 TL
5902,Lantis,1.8,Bakmadan ge�me | Mazda Lantis 1.8,1996,175,Ye?il,"05 Ocak
                        2020",KonyaMeram,22.750 TL
5903,Civic,1.6i VTEC Elegance,2008 �OK TEM?Z BAKIMLI 1.6 ?VTEC HONDA VSA'LI OTOMAT?K,2008,126,F�me,"16 Ocak
                        2020",?stanbulAta?ehir,75.750 TL
5904,Micra,1.2 Match,SAH?B?NDEN NOKTA HATASIZ BOYASIZ 3900 km GARANT? KAPSAMINDA,2018,3.9,Mavi,"19 Ocak
                        2020",KonyaKaratay,101.750 TL
5905,i20,1.4 CVVT Jump,BERAT OTOMOT?V �SK�DAR ?.20 JAMP BRC LPG OTOMAT?K,2014,115,Beyaz,"21 Ocak
                        2020",?stanbul�sk�dar,75.500 TL
5906,Albea,Sole 1.4 Fire Dynamic,2.Sahibinden-H�atas?z-126.000 Km'De-2009-Albe�a-Sole-Dynamic,2009,126,Gri,"21 Ocak
                        2020",Ni?deBor,42.900 TL
5907,Civic,1.6i VTEC Premium,2010 HONDA C?V?C 1.6 ? VTEC PREM?UM OTOMAT?K,2010,99.9,Kahverengi,"20 Ocak
                        2020",BursaY?ld?r?m,85.000 TL
5908,A4,A4 Sedan 2.0 TDI,MERT OTOMOT?VDEN AUD? A4 2.0 TD? OTOMAT?K,2006,280,Mavi,"09 Ocak
                        2020",?stanbulBeykoz,67.500 TL
5909,Civic,1.6i VTEC Elegance,SDT MOTORS DAN D�?�K KM LPG AKSESUAR,2014,65.8,Beyaz,"16 Ocak
                        2020",K�tahyaTav?anl?,119.000 TL
5910,Palio,1.3 Multijet Active Sole,2011 PAL?O D?ZEL KL?MALI BAKIMLI ARA�,2011,163,G�m�? Gri,"21 Ocak
                        2020",?anl?urfaHaliliye,26.750 TL
5911,C3,1.4 HDi SX,2004 MODEL ABS'L? �?FT A?RBAG DJ?TAL KL?MA FUL PAKET D?ZEL C3-SX,2004,202,Mavi,"21 Ocak
                        2020",SakaryaPamukova,31.500 TL
5912,Focus,1.6 TDCi Trend X,2015 FORD FOCUS 1.6 TDC? TREND X BOYASIZ,2015,160,Beyaz,"21 Ocak
                        2020",HatayAntakya,95.000 TL
5913,C4,1.6 e-HDi Confort Plus,Boya de?i?en yok full bak?ml?,2012,195,Mavi,"21 Ocak
                        2020",?stanbul�mraniye,78.000 TL
5914,Egea,1.3 Multijet Easy,91.000 KMDE HATASIZ BOYASIZ 1.3 M.JET EASY EGEA,2016,91,Beyaz,"21 Ocak
                        2020",KayseriKocasinan,76.900 TL
5915,Cerato,1.6 CRDi Concept Plus,2017 K?A CERATO CONPECT PLUS(FULL+SUNR�OF+NAV+KOLTUK ISITIMA),2017,86,Beyaz,"15 Ocak
                        2020",?stanbulKartal,133.000 TL
5916,Fiesta,1.25 Trend X,�?RETMENDEN EKSTRALI GS PLAKALI KAZASIZ BOYASIZ HASAR KAYITSIZ,2014,26.4,Beyaz,"22 Ocak
                        2020",Diyarbak?rErgani,77.750 TL
5917,3,1.6 D Comfort,MAZDA 3 TERTEM?Z PRIL PRIL A?LE ARABASI ?LK GELEN ALIR,2012,136,Siyah,"27 Aral?k
                        2019",AnkaraKe�i�ren,68.500 TL
5918,Vectra,1.6 Edition,kusursuz temiz nadir kalanlardan,2005,214,G�m�? Gri,"21 Ocak
                        2020",TokatMerkez,44.750 TL
5919,Micra,1.2 Match,2016 N?SSAN MICRA1.2 MATCH OTOMAT?K V?TES KM. 34.000 BEYAZ,2016,34,Beyaz,"11 Ocak
                        2020",TokatTurhal,85.000 TL
5920,5 Serisi,525d xDrive  Premium,2013 + X DR?VE + VAKUM + HAYALET + SUNROOF + TABA KOLTUK,2013,230,Beyaz,"21 Ocak
                        2020",AdanaSeyhan,215.900 TL
